,Country,Gender,Activity,Currency,Year,Amount
25656,Costa Rica,Male,Transporte y almacenamiento,Divisa: Dólar estadounidense,2014,791.23
25659,Costa Rica,Male,Actividades de alojamiento y de servicio de comidas,Divisa: Dólar estadounidense,2014,767.69
25662,Costa Rica,Male,Información y comunicaciones,Divisa: Dólar estadounidense,2014,1535.74
25665,Costa Rica,Male,Actividades financieras y de seguros,Divisa: Dólar estadounidense,2014,1721.3
25668,Costa Rica,Male,Actividades inmobiliarias,Divisa: Dólar estadounidense,2014,765.75
25671,Costa Rica,Male,"Actividades profesionales, científicas y técnicas",Divisa: Dólar estadounidense,2014,1428.87
25674,Costa Rica,Male,Actividades de servicios administrativos y de apoyo,Divisa: Dólar estadounidense,2014,741.17
25677,Costa Rica,Male,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Divisa: Dólar estadounidense,2014,1638.77
25680,Costa Rica,Male,Enseñanza,Divisa: Dólar estadounidense,2014,1469.92
25683,Costa Rica,Male,Actividades de atención de la salud humana y de asistencia social,Divisa: Dólar estadounidense,2014,1648.28
25686,Costa Rica,Male,"Actividades artísticas, de entretenimiento y recreativas",Divisa: Dólar estadounidense,2014,685.1
25689,Costa Rica,Male,Otras actividades de servicios,Divisa: Dólar estadounidense,2014,792.08
25692,Costa Rica,Male,Actividades de los hogares como empleadores; actividades no diferenciadas de los hogares como productores de bienes y servicios para uso propio,Divisa: Dólar estadounidense,2014,404.78
25701,Costa Rica,Female,Agricultura; ganadería; silvicultura y pesca,Divisa: Dólar estadounidense,2014,463.78
25704,Costa Rica,Female,Industrias manufactureras,Divisa: Dólar estadounidense,2014,726.03
25707,Costa Rica,Female,"Suministro de electricidad, gas; vapor y aire acondicionado",Divisa: Dólar estadounidense,2014,1620.82
25710,Costa Rica,Female,"Suministro de agua; evacuación de aguas residuales, gestión de desechos y descontaminación",Divisa: Dólar estadounidense,2014,997.49
25713,Costa Rica,Female,Construcción,Divisa: Dólar estadounidense,2014,1098.39
25716,Costa Rica,Female,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Divisa: Dólar estadounidense,2014,671.77
25719,Costa Rica,Female,Transporte y almacenamiento,Divisa: Dólar estadounidense,2014,928.16
25722,Costa Rica,Female,Actividades de alojamiento y de servicio de comidas,Divisa: Dólar estadounidense,2014,603.19
25725,Costa Rica,Female,Información y comunicaciones,Divisa: Dólar estadounidense,2014,1191.4
25728,Costa Rica,Female,Actividades financieras y de seguros,Divisa: Dólar estadounidense,2014,1352.11
25731,Costa Rica,Female,Actividades inmobiliarias,Divisa: Dólar estadounidense,2014,678.88
25734,Costa Rica,Female,"Actividades profesionales, científicas y técnicas",Divisa: Dólar estadounidense,2014,1065.37
25737,Costa Rica,Female,Actividades de servicios administrativos y de apoyo,Divisa: Dólar estadounidense,2014,723.4
25740,Costa Rica,Female,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Divisa: Dólar estadounidense,2014,1454.87
25743,Costa Rica,Female,Enseñanza,Divisa: Dólar estadounidense,2014,1354.16
25746,Costa Rica,Female,Actividades de atención de la salud humana y de asistencia social,Divisa: Dólar estadounidense,2014,1237.34
25749,Costa Rica,Female,"Actividades artísticas, de entretenimiento y recreativas",Divisa: Dólar estadounidense,2014,577.28
25752,Costa Rica,Female,Otras actividades de servicios,Divisa: Dólar estadounidense,2014,663.81
25755,Costa Rica,Female,Actividades de los hogares como empleadores; actividades no diferenciadas de los hogares como productores de bienes y servicios para uso propio,Divisa: Dólar estadounidense,2014,286.92
25764,Costa Rica,Total,Agricultura,Divisa: Dólar estadounidense,2013,535.01
25767,Costa Rica,Total,Manufacturas,Divisa: Dólar estadounidense,2013,895.49
25770,Costa Rica,Total,Construcción,Divisa: Dólar estadounidense,2013,719.35
25773,Costa Rica,Total,"Explotación de minas y canteras; Suministro de electricidad, gas y agua",Divisa: Dólar estadounidense,2013,1497.27
25776,Costa Rica,Total,"Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales",Divisa: Dólar estadounidense,2013,892.0
25779,Costa Rica,Total,Administración pública y servicios y actividades comunales y sociales,Divisa: Dólar estadounidense,2013,1142.87
25788,Costa Rica,Male,Agricultura,Divisa: Dólar estadounidense,2013,537.87
25791,Costa Rica,Male,Manufacturas,Divisa: Dólar estadounidense,2013,938.65
25794,Costa Rica,Male,Construcción,Divisa: Dólar estadounidense,2013,711.88
25797,Costa Rica,Male,"Explotación de minas y canteras; Suministro de electricidad, gas y agua",Divisa: Dólar estadounidense,2013,1546.93
25800,Costa Rica,Male,"Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales",Divisa: Dólar estadounidense,2013,941.36
25803,Costa Rica,Male,Administración pública y servicios y actividades comunales y sociales,Divisa: Dólar estadounidense,2013,1407.5
25812,Costa Rica,Female,Agricultura,Divisa: Dólar estadounidense,2013,510.36
25815,Costa Rica,Female,Manufacturas,Divisa: Dólar estadounidense,2013,787.09
25818,Costa Rica,Female,Construcción,Divisa: Dólar estadounidense,2013,850.96
25821,Costa Rica,Female,"Explotación de minas y canteras; Suministro de electricidad, gas y agua",Divisa: Dólar estadounidense,2013,1144.91
25824,Costa Rica,Female,"Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales",Divisa: Dólar estadounidense,2013,815.17
25827,Costa Rica,Female,Administración pública y servicios y actividades comunales y sociales,Divisa: Dólar estadounidense,2013,994.55
25833,Costa Rica,Total,Agricultura; ganadería; silvicultura y pesca,Divisa: Dólar estadounidense,2013,535.01
25836,Costa Rica,Total,Explotación de minas y canteras,Divisa: Dólar estadounidense,2013,570.13
25839,Costa Rica,Total,Industrias manufactureras,Divisa: Dólar estadounidense,2013,895.49
25842,Costa Rica,Total,"Suministro de electricidad, gas; vapor y aire acondicionado",Divisa: Dólar estadounidense,2013,1644.71
25845,Costa Rica,Total,"Suministro de agua; evacuación de aguas residuales, gestión de desechos y descontaminación",Divisa: Dólar estadounidense,2013,1186.29
25848,Costa Rica,Total,Construcción,Divisa: Dólar estadounidense,2013,719.35
25851,Costa Rica,Total,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Divisa: Dólar estadounidense,2013,801.88
25854,Costa Rica,Total,Transporte y almacenamiento,Divisa: Dólar estadounidense,2013,846.41
25857,Costa Rica,Total,Actividades de alojamiento y de servicio de comidas,Divisa: Dólar estadounidense,2013,677.23
25860,Costa Rica,Total,Información y comunicaciones,Divisa: Dólar estadounidense,2013,1249.51
25863,Costa Rica,Total,Actividades financieras y de seguros,Divisa: Dólar estadounidense,2013,1565.77
25866,Costa Rica,Total,Actividades inmobiliarias,Divisa: Dólar estadounidense,2013,800.22
25869,Costa Rica,Total,"Actividades profesionales, científicas y técnicas",Divisa: Dólar estadounidense,2013,1164.43
25872,Costa Rica,Total,Actividades de servicios administrativos y de apoyo,Divisa: Dólar estadounidense,2013,693.86
25875,Costa Rica,Total,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Divisa: Dólar estadounidense,2013,1650.42
25878,Costa Rica,Total,Enseñanza,Divisa: Dólar estadounidense,2013,1420.48
25881,Costa Rica,Total,Actividades de atención de la salud humana y de asistencia social,Divisa: Dólar estadounidense,2013,1659.94
25884,Costa Rica,Total,"Actividades artísticas, de entretenimiento y recreativas",Divisa: Dólar estadounidense,2013,724.62
25887,Costa Rica,Total,Otras actividades de servicios,Divisa: Dólar estadounidense,2013,666.64
25890,Costa Rica,Total,Actividades de los hogares como empleadores; actividades no diferenciadas de los hogares como productores de bienes y servicios para uso propio,Divisa: Dólar estadounidense,2013,299.16
25893,Costa Rica,Total,Actividades de organizaciones y órganos extraterritoriales,Divisa: Dólar estadounidense,2013,1306.93
25902,Costa Rica,Male,Agricultura; ganadería; silvicultura y pesca,Divisa: Dólar estadounidense,2013,537.87
25905,Costa Rica,Male,Explotación de minas y canteras,Divisa: Dólar estadounidense,2013,586.35
25908,Costa Rica,Male,Industrias manufactureras,Divisa: Dólar estadounidense,2013,938.65
25911,Costa Rica,Male,"Suministro de electricidad, gas; vapor y aire acondicionado",Divisa: Dólar estadounidense,2013,1674.09
25914,Costa Rica,Male,"Suministro de agua; evacuación de aguas residuales, gestión de desechos y descontaminación",Divisa: Dólar estadounidense,2013,1286.76
25917,Costa Rica,Male,Construcción,Divisa: Dólar estadounidense,2013,711.88
25920,Costa Rica,Male,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Divisa: Dólar estadounidense,2013,872.42
25923,Costa Rica,Male,Transporte y almacenamiento,Divisa: Dólar estadounidense,2013,815.48
25926,Costa Rica,Male,Actividades de alojamiento y de servicio de comidas,Divisa: Dólar estadounidense,2013,864.49
25929,Costa Rica,Male,Información y comunicaciones,Divisa: Dólar estadounidense,2013,1363.03
25932,Costa Rica,Male,Actividades financieras y de seguros,Divisa: Dólar estadounidense,2013,1637.88
25935,Costa Rica,Male,Actividades inmobiliarias,Divisa: Dólar estadounidense,2013,785.92
25938,Costa Rica,Male,"Actividades profesionales, científicas y técnicas",Divisa: Dólar estadounidense,2013,1059.89
25941,Costa Rica,Male,Actividades de servicios administrativos y de apoyo,Divisa: Dólar estadounidense,2013,730.95
25944,Costa Rica,Male,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Divisa: Dólar estadounidense,2013,1604.11
25947,Costa Rica,Male,Enseñanza,Divisa: Dólar estadounidense,2013,1444.94
25950,Costa Rica,Male,Actividades de atención de la salud humana y de asistencia social,Divisa: Dólar estadounidense,2013,2047.53
25953,Costa Rica,Male,"Actividades artísticas, de entretenimiento y recreativas",Divisa: Dólar estadounidense,2013,697.06
25956,Costa Rica,Male,Otras actividades de servicios,Divisa: Dólar estadounidense,2013,651.46
25959,Costa Rica,Male,Actividades de los hogares como empleadores; actividades no diferenciadas de los hogares como productores de bienes y servicios para uso propio,Divisa: Dólar estadounidense,2013,360.39
25968,Costa Rica,Female,Agricultura; ganadería; silvicultura y pesca,Divisa: Dólar estadounidense,2013,510.36
25971,Costa Rica,Female,Industrias manufactureras,Divisa: Dólar estadounidense,2013,787.09
25974,Costa Rica,Female,"Suministro de electricidad, gas; vapor y aire acondicionado",Divisa: Dólar estadounidense,2013,1409.56
25977,Costa Rica,Female,"Suministro de agua; evacuación de aguas residuales, gestión de desechos y descontaminación",Divisa: Dólar estadounidense,2013,678.15
25980,Costa Rica,Female,Construcción,Divisa: Dólar estadounidense,2013,850.96
25983,Costa Rica,Female,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Divisa: Dólar estadounidense,2013,681.14
25986,Costa Rica,Female,Transporte y almacenamiento,Divisa: Dólar estadounidense,2013,968.37
25989,Costa Rica,Female,Actividades de alojamiento y de servicio de comidas,Divisa: Dólar estadounidense,2013,530.36
25992,Costa Rica,Female,Información y comunicaciones,Divisa: Dólar estadounidense,2013,963.0
25995,Costa Rica,Female,Actividades financieras y de seguros,Divisa: Dólar estadounidense,2013,1472.05
25998,Costa Rica,Female,Actividades inmobiliarias,Divisa: Dólar estadounidense,2013,819.86
26001,Costa Rica,Female,"Actividades profesionales, científicas y técnicas",Divisa: Dólar estadounidense,2013,1243.49
26004,Costa Rica,Female,Actividades de servicios administrativos y de apoyo,Divisa: Dólar estadounidense,2013,627.24
26007,Costa Rica,Female,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Divisa: Dólar estadounidense,2013,1718.39
26010,Costa Rica,Female,Enseñanza,Divisa: Dólar estadounidense,2013,1409.48
26013,Costa Rica,Female,Actividades de atención de la salud humana y de asistencia social,Divisa: Dólar estadounidense,2013,1398.62
26016,Costa Rica,Female,"Actividades artísticas, de entretenimiento y recreativas",Divisa: Dólar estadounidense,2013,772.28
26019,Costa Rica,Female,Otras actividades de servicios,Divisa: Dólar estadounidense,2013,688.74
26022,Costa Rica,Female,Actividades de los hogares como empleadores; actividades no diferenciadas de los hogares como productores de bienes y servicios para uso propio,Divisa: Dólar estadounidense,2013,293.83
26028,Costa Rica,Total,Agricultura,Divisa: Dólar estadounidense,2012,486.72
26031,Costa Rica,Total,Manufacturas,Divisa: Dólar estadounidense,2012,850.23
26034,Costa Rica,Total,Construcción,Divisa: Dólar estadounidense,2012,632.26
26037,Costa Rica,Total,"Explotación de minas y canteras; Suministro de electricidad, gas y agua",Divisa: Dólar estadounidense,2012,1212.86
26040,Costa Rica,Total,"Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales",Divisa: Dólar estadounidense,2012,835.74
26043,Costa Rica,Total,Administración pública y servicios y actividades comunales y sociales,Divisa: Dólar estadounidense,2012,1039.21
26052,Costa Rica,Male,Agricultura,Divisa: Dólar estadounidense,2012,493.08
26055,Costa Rica,Male,Manufacturas,Divisa: Dólar estadounidense,2012,896.32
26058,Costa Rica,Male,Construcción,Divisa: Dólar estadounidense,2012,614.14
26061,Costa Rica,Male,"Explotación de minas y canteras; Suministro de electricidad, gas y agua",Divisa: Dólar estadounidense,2012,1204.75
26064,Costa Rica,Male,"Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales",Divisa: Dólar estadounidense,2012,883.17
26067,Costa Rica,Male,Administración pública y servicios y actividades comunales y sociales,Divisa: Dólar estadounidense,2012,1344.39
26076,Costa Rica,Female,Agricultura,Divisa: Dólar estadounidense,2012,437.77
26079,Costa Rica,Female,Manufacturas,Divisa: Dólar estadounidense,2012,719.51
26082,Costa Rica,Female,Construcción,Divisa: Dólar estadounidense,2012,939.03
26085,Costa Rica,Female,"Explotación de minas y canteras; Suministro de electricidad, gas y agua",Divisa: Dólar estadounidense,2012,1248.45
26088,Costa Rica,Female,"Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales",Divisa: Dólar estadounidense,2012,757.55
26091,Costa Rica,Female,Administración pública y servicios y actividades comunales y sociales,Divisa: Dólar estadounidense,2012,889.71
26100,Costa Rica,Total,Agricultura; ganadería; silvicultura y pesca,Divisa: Dólar estadounidense,2012,486.72
26103,Costa Rica,Total,Explotación de minas y canteras,Divisa: Dólar estadounidense,2012,1419.67
26106,Costa Rica,Total,Industrias manufactureras,Divisa: Dólar estadounidense,2012,850.23
26109,Costa Rica,Total,"Suministro de electricidad, gas; vapor y aire acondicionado",Divisa: Dólar estadounidense,2012,1327.35
26112,Costa Rica,Total,"Suministro de agua; evacuación de aguas residuales, gestión de desechos y descontaminación",Divisa: Dólar estadounidense,2012,923.2
26115,Costa Rica,Total,Construcción,Divisa: Dólar estadounidense,2012,632.26
26118,Costa Rica,Total,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Divisa: Dólar estadounidense,2012,688.44
26121,Costa Rica,Total,Transporte y almacenamiento,Divisa: Dólar estadounidense,2012,777.72
26124,Costa Rica,Total,Actividades de alojamiento y de servicio de comidas,Divisa: Dólar estadounidense,2012,640.18
26127,Costa Rica,Total,Información y comunicaciones,Divisa: Dólar estadounidense,2012,1266.48
26130,Costa Rica,Total,Actividades financieras y de seguros,Divisa: Dólar estadounidense,2012,1442.09
26133,Costa Rica,Total,Actividades inmobiliarias,Divisa: Dólar estadounidense,2012,589.42
26136,Costa Rica,Total,"Actividades profesionales, científicas y técnicas",Divisa: Dólar estadounidense,2012,1179.72
26139,Costa Rica,Total,Actividades de servicios administrativos y de apoyo,Divisa: Dólar estadounidense,2012,787.11
26142,Costa Rica,Total,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Divisa: Dólar estadounidense,2012,1524.86
26145,Costa Rica,Total,Enseñanza,Divisa: Dólar estadounidense,2012,1289.15
26148,Costa Rica,Total,Actividades de atención de la salud humana y de asistencia social,Divisa: Dólar estadounidense,2012,1591.65
26151,Costa Rica,Total,"Actividades artísticas, de entretenimiento y recreativas",Divisa: Dólar estadounidense,2012,648.85
26154,Costa Rica,Total,Otras actividades de servicios,Divisa: Dólar estadounidense,2012,710.29
26157,Costa Rica,Total,Actividades de los hogares como empleadores; actividades no diferenciadas de los hogares como productores de bienes y servicios para uso propio,Divisa: Dólar estadounidense,2012,281.73
26160,Costa Rica,Total,Actividades de organizaciones y órganos extraterritoriales,Divisa: Dólar estadounidense,2012,2779.07
26169,Costa Rica,Male,Agricultura; ganadería; silvicultura y pesca,Divisa: Dólar estadounidense,2012,493.08
26172,Costa Rica,Male,Explotación de minas y canteras,Divisa: Dólar estadounidense,2012,1483.62
26175,Costa Rica,Male,Industrias manufactureras,Divisa: Dólar estadounidense,2012,896.32
26178,Costa Rica,Male,"Suministro de electricidad, gas; vapor y aire acondicionado",Divisa: Dólar estadounidense,2012,1372.58
26181,Costa Rica,Male,"Suministro de agua; evacuación de aguas residuales, gestión de desechos y descontaminación",Divisa: Dólar estadounidense,2012,764.52
26184,Costa Rica,Male,Construcción,Divisa: Dólar estadounidense,2012,614.14
26187,Costa Rica,Male,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Divisa: Dólar estadounidense,2012,743.25
26190,Costa Rica,Male,Transporte y almacenamiento,Divisa: Dólar estadounidense,2012,760.79
26193,Costa Rica,Male,Actividades de alojamiento y de servicio de comidas,Divisa: Dólar estadounidense,2012,722.81
26196,Costa Rica,Male,Información y comunicaciones,Divisa: Dólar estadounidense,2012,1349.55
26199,Costa Rica,Male,Actividades financieras y de seguros,Divisa: Dólar estadounidense,2012,1592.91
26202,Costa Rica,Male,Actividades inmobiliarias,Divisa: Dólar estadounidense,2012,569.17
26205,Costa Rica,Male,"Actividades profesionales, científicas y técnicas",Divisa: Dólar estadounidense,2012,1294.82
26208,Costa Rica,Male,Actividades de servicios administrativos y de apoyo,Divisa: Dólar estadounidense,2012,838.44
26211,Costa Rica,Male,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Divisa: Dólar estadounidense,2012,1522.18
26214,Costa Rica,Male,Enseñanza,Divisa: Dólar estadounidense,2012,1317.11
26217,Costa Rica,Male,Actividades de atención de la salud humana y de asistencia social,Divisa: Dólar estadounidense,2012,1882.87
26220,Costa Rica,Male,"Actividades artísticas, de entretenimiento y recreativas",Divisa: Dólar estadounidense,2012,698.27
26223,Costa Rica,Male,Otras actividades de servicios,Divisa: Dólar estadounidense,2012,817.68
26226,Costa Rica,Male,Actividades de los hogares como empleadores; actividades no diferenciadas de los hogares como productores de bienes y servicios para uso propio,Divisa: Dólar estadounidense,2012,358.48
26235,Costa Rica,Female,Agricultura; ganadería; silvicultura y pesca,Divisa: Dólar estadounidense,2012,437.77
26238,Costa Rica,Female,Industrias manufactureras,Divisa: Dólar estadounidense,2012,719.51
26241,Costa Rica,Female,"Suministro de electricidad, gas; vapor y aire acondicionado",Divisa: Dólar estadounidense,2012,1115.79
26244,Costa Rica,Female,"Suministro de agua; evacuación de aguas residuales, gestión de desechos y descontaminación",Divisa: Dólar estadounidense,2012,1515.49
26247,Costa Rica,Female,Construcción,Divisa: Dólar estadounidense,2012,939.03
26250,Costa Rica,Female,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Divisa: Dólar estadounidense,2012,583.49
26253,Costa Rica,Female,Transporte y almacenamiento,Divisa: Dólar estadounidense,2012,850.49
26256,Costa Rica,Female,Actividades de alojamiento y de servicio de comidas,Divisa: Dólar estadounidense,2012,568.36
26259,Costa Rica,Female,Información y comunicaciones,Divisa: Dólar estadounidense,2012,1007.16
26262,Costa Rica,Female,Actividades financieras y de seguros,Divisa: Dólar estadounidense,2012,1292.32
26265,Costa Rica,Female,Actividades inmobiliarias,Divisa: Dólar estadounidense,2012,616.41
26268,Costa Rica,Female,"Actividades profesionales, científicas y técnicas",Divisa: Dólar estadounidense,2012,1085.23
26271,Costa Rica,Female,Actividades de servicios administrativos y de apoyo,Divisa: Dólar estadounidense,2012,696.82
26274,Costa Rica,Female,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Divisa: Dólar estadounidense,2012,1528.54
26277,Costa Rica,Female,Enseñanza,Divisa: Dólar estadounidense,2012,1276.16
26280,Costa Rica,Female,Actividades de atención de la salud humana y de asistencia social,Divisa: Dólar estadounidense,2012,1429.88
26283,Costa Rica,Female,"Actividades artísticas, de entretenimiento y recreativas",Divisa: Dólar estadounidense,2012,550.56
26286,Costa Rica,Female,Otras actividades de servicios,Divisa: Dólar estadounidense,2012,608.77
26289,Costa Rica,Female,Actividades de los hogares como empleadores; actividades no diferenciadas de los hogares como productores de bienes y servicios para uso propio,Divisa: Dólar estadounidense,2012,276.36
26292,Costa Rica,Female,Actividades de organizaciones y órganos extraterritoriales,Divisa: Dólar estadounidense,2012,1786.81
26310,Costa Rica,Total,Agricultura; ganadería; silvicultura y pesca,Divisa: Dólar estadounidense,2011,428.23
26313,Costa Rica,Total,Explotación de minas y canteras,Divisa: Dólar estadounidense,2011,420.58
26316,Costa Rica,Total,Industrias manufactureras,Divisa: Dólar estadounidense,2011,523.38
26319,Costa Rica,Total,"Suministro de electricidad, gas; vapor y aire acondicionado",Divisa: Dólar estadounidense,2011,723.95
26322,Costa Rica,Total,"Suministro de agua; evacuación de aguas residuales, gestión de desechos y descontaminación",Divisa: Dólar estadounidense,2011,1423.63
26325,Costa Rica,Total,Construcción,Divisa: Dólar estadounidense,2011,541.68
26328,Costa Rica,Total,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Divisa: Dólar estadounidense,2011,636.92
26331,Costa Rica,Total,Transporte y almacenamiento,Divisa: Dólar estadounidense,2011,571.95
26334,Costa Rica,Total,Actividades de alojamiento y de servicio de comidas,Divisa: Dólar estadounidense,2011,810.07
26337,Costa Rica,Total,Información y comunicaciones,Divisa: Dólar estadounidense,2011,1541.61
26340,Costa Rica,Total,Actividades financieras y de seguros,Divisa: Dólar estadounidense,2011,783.08
26343,Costa Rica,Total,Actividades inmobiliarias,Divisa: Dólar estadounidense,2011,1417.52
26346,Costa Rica,Total,"Actividades profesionales, científicas y técnicas",Divisa: Dólar estadounidense,2011,1207.19
26349,Costa Rica,Total,Actividades de servicios administrativos y de apoyo,Divisa: Dólar estadounidense,2011,1399.63
26352,Costa Rica,Total,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Divisa: Dólar estadounidense,2011,680.88
26355,Costa Rica,Total,Enseñanza,Divisa: Dólar estadounidense,2011,261.22
26358,Costa Rica,Total,Actividades de atención de la salud humana y de asistencia social,Divisa: Dólar estadounidense,2011,2146.07
26361,Costa Rica,Total,"Actividades artísticas, de entretenimiento y recreativas",Divisa: Dólar estadounidense,2011,419.36
26367,Costa Rica,Male,Agricultura; ganadería; silvicultura y pesca,Divisa: Dólar estadounidense,2011,432.61
26370,Costa Rica,Male,Explotación de minas y canteras,Divisa: Dólar estadounidense,2011,419.68
26373,Costa Rica,Male,Industrias manufactureras,Divisa: Dólar estadounidense,2011,463.5
26376,Costa Rica,Male,"Suministro de electricidad, gas; vapor y aire acondicionado",Divisa: Dólar estadounidense,2011,762.23
26379,Costa Rica,Male,"Suministro de agua; evacuación de aguas residuales, gestión de desechos y descontaminación",Divisa: Dólar estadounidense,2011,1370.06
26382,Costa Rica,Male,Construcción,Divisa: Dólar estadounidense,2011,536.78
26385,Costa Rica,Male,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Divisa: Dólar estadounidense,2011,676.73
26388,Costa Rica,Male,Transporte y almacenamiento,Divisa: Dólar estadounidense,2011,661.5
26391,Costa Rica,Male,Actividades de alojamiento y de servicio de comidas,Divisa: Dólar estadounidense,2011,828.37
26394,Costa Rica,Male,Información y comunicaciones,Divisa: Dólar estadounidense,2011,1481.38
26397,Costa Rica,Male,Actividades financieras y de seguros,Divisa: Dólar estadounidense,2011,794.38
26400,Costa Rica,Male,Actividades inmobiliarias,Divisa: Dólar estadounidense,2011,1404.12
26403,Costa Rica,Male,"Actividades profesionales, científicas y técnicas",Divisa: Dólar estadounidense,2011,1217.34
26406,Costa Rica,Male,Actividades de servicios administrativos y de apoyo,Divisa: Dólar estadounidense,2011,1689.6
26409,Costa Rica,Male,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Divisa: Dólar estadounidense,2011,771.39
26412,Costa Rica,Male,Enseñanza,Divisa: Dólar estadounidense,2011,281.66
26415,Costa Rica,Male,Actividades de atención de la salud humana y de asistencia social,Divisa: Dólar estadounidense,2011,4069.56
26418,Costa Rica,Male,"Actividades artísticas, de entretenimiento y recreativas",Divisa: Dólar estadounidense,2011,442.3
26424,Costa Rica,Female,Agricultura; ganadería; silvicultura y pesca,Divisa: Dólar estadounidense,2011,395.1
26427,Costa Rica,Female,Explotación de minas y canteras,Divisa: Dólar estadounidense,2011,444.23
26430,Costa Rica,Female,Industrias manufactureras,Divisa: Dólar estadounidense,2011,708.86
26433,Costa Rica,Female,"Suministro de electricidad, gas; vapor y aire acondicionado",Divisa: Dólar estadounidense,2011,621.01
26436,Costa Rica,Female,"Suministro de agua; evacuación de aguas residuales, gestión de desechos y descontaminación",Divisa: Dólar estadounidense,2011,1637.41
26439,Costa Rica,Female,Construcción,Divisa: Dólar estadounidense,2011,633.63
26442,Costa Rica,Female,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Divisa: Dólar estadounidense,2011,562.75
26445,Costa Rica,Female,Transporte y almacenamiento,Divisa: Dólar estadounidense,2011,499.27
26448,Costa Rica,Female,Actividades de alojamiento y de servicio de comidas,Divisa: Dólar estadounidense,2011,740.96
26451,Costa Rica,Female,Información y comunicaciones,Divisa: Dólar estadounidense,2011,1611.35
26454,Costa Rica,Female,Actividades financieras y de seguros,Divisa: Dólar estadounidense,2011,765.27
26457,Costa Rica,Female,Actividades inmobiliarias,Divisa: Dólar estadounidense,2011,1436.87
26460,Costa Rica,Female,"Actividades profesionales, científicas y técnicas",Divisa: Dólar estadounidense,2011,1202.05
26463,Costa Rica,Female,Actividades de servicios administrativos y de apoyo,Divisa: Dólar estadounidense,2011,1222.95
26466,Costa Rica,Female,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Divisa: Dólar estadounidense,2011,543.75
26469,Costa Rica,Female,Enseñanza,Divisa: Dólar estadounidense,2011,259.47
26472,Costa Rica,Female,Actividades de atención de la salud humana y de asistencia social,Divisa: Dólar estadounidense,2011,1319.94
26475,Costa Rica,Female,"Actividades artísticas, de entretenimiento y recreativas",Divisa: Dólar estadounidense,2011,314.82
26481,Costa Rica,Total,Agricultura,Divisa: Dólar estadounidense,2010,434.96
26484,Costa Rica,Total,Manufacturas,Divisa: Dólar estadounidense,2010,647.7
26487,Costa Rica,Total,Construcción,Divisa: Dólar estadounidense,2010,507.05
26490,Costa Rica,Total,"Explotación de minas y canteras; Suministro de electricidad, gas y agua",Divisa: Dólar estadounidense,2010,1229.28
26493,Costa Rica,Total,"Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales",Divisa: Dólar estadounidense,2010,684.4
26496,Costa Rica,Total,Administración pública y servicios y actividades comunales y sociales,Divisa: Dólar estadounidense,2010,850.46
26505,Costa Rica,Male,Agricultura,Divisa: Dólar estadounidense,2010,443.87
26508,Costa Rica,Male,Manufacturas,Divisa: Dólar estadounidense,2010,652.97
26511,Costa Rica,Male,Construcción,Divisa: Dólar estadounidense,2010,504.43
26514,Costa Rica,Male,"Explotación de minas y canteras; Suministro de electricidad, gas y agua",Divisa: Dólar estadounidense,2010,1250.09
26517,Costa Rica,Male,"Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales",Divisa: Dólar estadounidense,2010,737.91
26520,Costa Rica,Male,Administración pública y servicios y actividades comunales y sociales,Divisa: Dólar estadounidense,2010,1070.91
26529,Costa Rica,Female,Agricultura,Divisa: Dólar estadounidense,2010,379.23
26532,Costa Rica,Female,Manufacturas,Divisa: Dólar estadounidense,2010,634.22
26535,Costa Rica,Female,Construcción,Divisa: Dólar estadounidense,2010,597.93
26538,Costa Rica,Female,"Explotación de minas y canteras; Suministro de electricidad, gas y agua",Divisa: Dólar estadounidense,2010,1120.71
